,algo,cv fold,metric,value
0,Gaussian Naive Bayes,0,fit_time,2.2884063720703125
1,Gaussian Naive Bayes,1,fit_time,2.3016703128814697
2,Gaussian Naive Bayes,2,fit_time,2.2661521434783936
3,Gaussian Naive Bayes,3,fit_time,2.2705442905426025
4,Gaussian Naive Bayes,4,fit_time,2.2926547527313232
5,Gaussian Naive Bayes,0,score_time,1.5349316596984863
6,Gaussian Naive Bayes,1,score_time,1.5419211387634277
7,Gaussian Naive Bayes,2,score_time,1.5303380489349365
8,Gaussian Naive Bayes,3,score_time,1.6050326824188232
9,Gaussian Naive Bayes,4,score_time,1.5458729267120361
10,Gaussian Naive Bayes,0,test_precision,0.7572252212551871
11,Gaussian Naive Bayes,1,test_precision,0.7710638925778368
12,Gaussian Naive Bayes,2,test_precision,0.7667392990360823
13,Gaussian Naive Bayes,3,test_precision,0.7706670571867906
14,Gaussian Naive Bayes,4,test_precision,0.7657079235479681
15,Gaussian Naive Bayes,0,test_recall,0.8591666666666666
16,Gaussian Naive Bayes,1,test_recall,0.8709166666666667
17,Gaussian Naive Bayes,2,test_recall,0.8650416666666667
18,Gaussian Naive Bayes,3,test_recall,0.8770833333333333
19,Gaussian Naive Bayes,4,test_recall,0.8596666666666667
20,Gaussian Naive Bayes,0,test_f1,0.8049813589428276
21,Gaussian Naive Bayes,1,test_f1,0.8179541363387337
22,Gaussian Naive Bayes,2,test_f1,0.8129294986001527
23,Gaussian Naive Bayes,3,test_f1,0.8204388665861168
24,Gaussian Naive Bayes,4,test_f1,0.8099715379330651
25,Gaussian Naive Bayes,0,test_roc_auc,0.8836736111111111
26,Gaussian Naive Bayes,1,test_roc_auc,0.892361111111111
27,Gaussian Naive Bayes,2,test_roc_auc,0.8886597222222222
28,Gaussian Naive Bayes,3,test_roc_auc,0.8950416666666666
29,Gaussian Naive Bayes,4,test_roc_auc,0.8859930555555555
30,SVM/Linear SVC,0,fit_time,406.1270010471344
31,SVM/Linear SVC,1,fit_time,415.22917914390564
32,SVM/Linear SVC,2,fit_time,414.1345820426941
33,SVM/Linear SVC,3,fit_time,423.93479323387146
34,SVM/Linear SVC,4,fit_time,421.41906666755676
35,SVM/Linear SVC,0,score_time,0.32315921783447266
36,SVM/Linear SVC,1,score_time,0.27152061462402344
37,SVM/Linear SVC,2,score_time,0.33415865898132324
38,SVM/Linear SVC,3,score_time,0.2420520782470703
39,SVM/Linear SVC,4,score_time,0.24063992500305176
40,SVM/Linear SVC,0,test_precision,0.8758377425044092
41,SVM/Linear SVC,1,test_precision,0.8954069227708766
42,SVM/Linear SVC,2,test_precision,0.8921689397272328
43,SVM/Linear SVC,3,test_precision,0.9051256015186967
44,SVM/Linear SVC,4,test_precision,0.9001520300482919
45,SVM/Linear SVC,0,test_recall,0.8276666666666667
46,SVM/Linear SVC,1,test_recall,0.8439583333333334
47,SVM/Linear SVC,2,test_recall,0.8449583333333334
48,SVM/Linear SVC,3,test_recall,0.85425
49,SVM/Linear SVC,4,test_recall,0.8387916666666667
50,SVM/Linear SVC,0,test_f1,0.8510711225364183
51,SVM/Linear SVC,1,test_f1,0.8689217305506103
52,SVM/Linear SVC,2,test_f1,0.8679221057136743
53,SVM/Linear SVC,3,test_f1,0.8789522196737476
54,SVM/Linear SVC,4,test_f1,0.8683892675351567
55,SVM/Linear SVC,0,test_roc_auc,0.8942777777777777
56,SVM/Linear SVC,1,test_roc_auc,0.9055486111111112
57,SVM/Linear SVC,2,test_roc_auc,0.9054583333333334
58,SVM/Linear SVC,3,test_roc_auc,0.9122013888888888
59,SVM/Linear SVC,4,test_roc_auc,0.903888888888889
60,Logistic Regression,0,fit_time,26.779582738876343
61,Logistic Regression,1,fit_time,25.773977994918823
62,Logistic Regression,2,fit_time,25.833557605743408
63,Logistic Regression,3,fit_time,26.860430002212524
64,Logistic Regression,4,fit_time,26.057126998901367
65,Logistic Regression,0,score_time,0.24132251739501953
66,Logistic Regression,1,score_time,0.34825849533081055
67,Logistic Regression,2,score_time,0.33572959899902344
68,Logistic Regression,3,score_time,0.2518763542175293
69,Logistic Regression,4,score_time,0.3086130619049072
70,Logistic Regression,0,test_precision,0.8728683529875937
